name,position,country,season,market value,transfer fee,left,joined,old club league,new club league,old club league type,new club league type,age,contract remaining
Nicolò Barella,Central Midfield,Italy,20/21,€50.00m,€32.50m,Cagliari Calcio,Inter Milan,Serie A,Serie A,First Tier,First Tier,23 years 06 months 25 days,01 Years 09 Months 29 Days
Nélson Semedo,Right-Back,Portugal,20/21,€40.00m,€32.00m,FC Barcelona,Wolverhampton Wanderers,LaLiga,Premier League,First Tier,First Tier,26 years 10 months 07 days,01 Years 09 Months 07 Days
Giovani Lo Celso,Central Midfield,Argentina,20/21,€40.00m,€32.00m,Real Betis Balompié,Tottenham Hotspur,LaLiga,Premier League,First Tier,First Tier,24 years 02 months 22 days,02 Years 11 Months 30 Days
Trincão,Right Winger,Portugal,20/21,€16.00m,€31.00m,SC Braga,FC Barcelona,Liga NOS,LaLiga,First Tier,First Tier,20 years 07 months 05 days,02 Years 10 Months 27 Days
Rodrigo,Centre-Forward,Spain,20/21,€40.00m,€30.00m,Valencia CF,Leeds United,LaLiga,Premier League,First Tier,First Tier,29 years 05 months 23 days,01 Years 10 Months 01 Days
Sergio Reguilón,Left-Back,Spain,20/21,€25.00m,€30.00m,Real Madrid,Tottenham Hotspur,LaLiga,Premier League,First Tier,First Tier,23 years 09 months 03 days,02 Years 09 Months 11 Days
Ben Godfrey,Centre-Back,England,20/21,€16.00m,€27.50m,Norwich City,Everton FC,Championship,Premier League,Second Tier,First Tier,22 years 08 months 20 days,08 Months 25 Days
Jonathan David,Centre-Forward,Canada,20/21,€25.00m,€27.00m,KAA Gent,LOSC Lille,Jupiler Pro League,Ligue 1,First Tier,First Tier,20 years 06 months 28 days,02 Years 10 Months 19 Days
Yannick Carrasco,Left Winger,Belgium,20/21,€22.50m,€27.00m,Dalian Professional,Atlético de Madrid,Chinese Super League,LaLiga,First Tier,First Tier,27 years 04 days,02 Years 03 Months 23 Days
Patrik Schick,Centre-Forward,Czech Republic,20/21,€25.00m,€26.50m,AS Roma,Bayer 04 Leverkusen,Serie A,Bundesliga,First Tier,First Tier,24 years 07 months 15 days,01 Years 09 Months 22 Days
Gabriel Magalhães,Centre-Back,Brazil,20/21,€20.00m,€26.00m,LOSC Lille,Arsenal FC,Ligue 1,Premier League,First Tier,First Tier,22 years 08 months 13 days,02 Years 09 Months 29 Days
Jérémy Doku,Right Winger,Belgium,20/21,€9.00m,€26.00m,RSC Anderlecht,Stade Rennais FC,Jupiler Pro League,Ligue 1,First Tier,First Tier,18 years 04 months 08 days,01 Years 08 Months 25 Days
Rhian Brewster,Centre-Forward,England,20/21,€5.40m,€26.00m,Liverpool FC U23,Sheffield United,Premier League 2,Premier League,Reserve league,First Tier,20 years 06 months 00 days,
Nicolò Rovella,Defensive Midfield,Italy,20/21,€4.00m,€26.00m,Genoa CFC,Juventus FC,Serie A,Serie A,First Tier,First Tier,19 years 01 month 24 days,05 Months 02 Days
Emre Can,Defensive Midfield,Germany,20/21,€24.00m,€25.00m,Juventus FC,Borussia Dortmund,Serie A,Bundesliga,First Tier,First Tier,26 years 05 months 19 days,01 Years 11 Months 30 Days
Stefano Sensi,Central Midfield,Italy,20/21,€20.00m,€25.00m,US Sassuolo,Inter Milan,Serie A,Serie A,First Tier,First Tier,25 years 27 days,02 Years 09 Months 29 Days
Jude Bellingham,Central Midfield,England,20/21,€11.00m,€25.00m,Birmingham City,Borussia Dortmund,Championship,Bundesliga,Second Tier,First Tier,17 years 24 days,11 Months 07 Days
Allan,Defensive Midfield,Brazil,20/21,€28.00m,€24.60m,SSC Napoli,Everton FC,Serie A,Premier League,First Tier,First Tier,29 years 07 months 28 days,02 Years 09 Months 25 Days
Edouard Mendy,Goalkeeper,Senegal,20/21,€7.00m,€24.00m,Stade Rennais FC,Chelsea FC,Ligue 1,Premier League,First Tier,First Tier,28 years 06 months 25 days,02 Years 09 Months 06 Days
Lucas Paquetá,Attacking Midfield,Brazil,20/21,€20.00m,€23.44m,AC Milan,Olympique Lyon,Serie A,Ligue 1,First Tier,First Tier,23 years 01 month 03 days,02 Years 09 Months 00 Days
Saïd Benrahma,Left Winger,Algeria,20/21,€22.00m,€23.10m,Brentford FC,West Ham United,Championship,Premier League,Second Tier,First Tier,25 years 05 months 19 days,01 Years 05 Months 01 Days
Sébastien Haller,Centre-Forward,Cote d'Ivoire,20/21,€30.00m,€22.50m,West Ham United,Ajax Amsterdam,Premier League,Eredivisie,First Tier,First Tier,26 years 06 months 17 days,03 Years 05 Months 22 Days
Callum Wilson,Centre-Forward,England,20/21,€20.00m,€22.25m,AFC Bournemouth,Newcastle United,Championship,Premier League,Second Tier,First Tier,28 years 06 months 11 days,02 Years 09 Months 23 Days
Thiago,Central Midfield,Spain,20/21,€48.00m,€22.00m,Bayern Munich,Liverpool FC,Bundesliga,Premier League,First Tier,First Tier,29 years 05 months 07 days,09 Months 12 Days
Dominik Szoboszlai,Attacking Midfield,Hungary,20/21,€25.00m,€22.00m,Red Bull Salzburg,RB Leipzig,Bundesliga,Bundesliga,First Tier,First Tier,20 years 02 months 07 days,01 Years 04 Months 29 Days
Abdoulaye Doucouré,Central Midfield,Mali,20/21,€20.00m,€22.00m,Watford FC,Everton FC,Championship,Premier League,Second Tier,First Tier,27 years 08 months 07 days,
Simone Verdi,Attacking Midfield,Italy,20/21,€13.00m,€22.00m,SSC Napoli,Torino FC,Serie A,Serie A,First Tier,First Tier,28 years 01 month 20 days,02 Years 09 Months 29 Days
Roberto Inglese,Centre-Forward,Italy,20/21,€12.00m,€21.80m,SSC Napoli,Parma Calcio 1913,Serie A,Serie A,First Tier,First Tier,28 years 09 months 20 days,01 Years 09 Months 29 Days
Suso,Right Winger,Spain,20/21,€17.50m,€21.70m,AC Milan,Sevilla FC,Serie A,LaLiga,First Tier,First Tier,26 years 08 months 02 days,01 Years 11 Months 09 Days
Amad Diallo,Right Winger,Cote d'Ivoire,20/21,€15.00m,€21.30m,Atalanta BC,Manchester United,Serie A,Premier League,First Tier,First Tier,18 years 05 months 22 days,
Gianluca Mancini,Centre-Back,Italy,20/21,€22.00m,€21.00m,Atalanta BC,AS Roma,Serie A,Serie A,First Tier,First Tier,24 years 04 months 15 days,02 Years 09 Months 29 Days
Sergiño Dest,Right-Back,United States,20/21,€18.00m,€21.00m,Ajax Amsterdam,FC Barcelona,Eredivisie,LaLiga,First Tier,First Tier,19 years 10 months 28 days,01 Years 08 Months 30 Days
Andrea Pinamonti,Centre-Forward,Italy,20/21,€13.50m,€21.00m,Genoa CFC,Inter Milan,Serie A,Serie A,First Tier,First Tier,21 years 03 months 30 days,
Jean-Kévin Augustin,Centre-Forward,France,20/21,€9.50m,€21.00m,RB Leipzig,Leeds United,Bundesliga,Premier League,First Tier,First Tier,23 years 15 days,01 Years 11 Months 30 Days
Timothy Castagne,Right-Back,Belgium,20/21,€18.00m,€20.90m,Atalanta BC,Leicester City,Serie A,Premier League,First Tier,First Tier,24 years 08 months 29 days,01 Years 09 Months 27 Days
Aaron Ramsdale,Goalkeeper,England,20/21,€12.50m,€20.50m,AFC Bournemouth,Sheffield United,Championship,Premier League,Second Tier,First Tier,22 years 03 months 05 days,
Wendel,Central Midfield,Brazil,20/21,€12.00m,€20.30m,Sporting CP,Zenit St. Petersburg,Liga NOS,Premier Liga,First Tier,First Tier,23 years 01 month 08 days,02 Years 08 Months 24 Days
Álvaro Morata,Centre-Forward,Spain,20/21,€36.00m,Loan fee:€20.00m,Atlético de Madrid,Juventus FC,LaLiga,Serie A,First Tier,First Tier,27 years 10 months 30 days,03 Years 09 Months 08 Days
Everton,Left Winger,Brazil,20/21,€28.00m,€20.00m,Grêmio Foot-Ball Porto Alegrense,SL Benfica,Campeonato Brasileiro Série A,Liga NOS,First Tier,First Tier,24 years 04 months 23 days,03 Years 04 Months 17 Days
Diego Llorente,Centre-Back,Spain,20/21,€20.00m,€20.00m,Real Sociedad,Leeds United,LaLiga,Premier League,First Tier,First Tier,27 years 01 month 08 days,01 Years 09 Months 06 Days
Alexander Sørloth,Centre-Forward,Norway,20/21,€20.00m,€20.00m,Crystal Palace,RB Leipzig,Premier League,Bundesliga,First Tier,First Tier,24 years 09 months 17 days,01 Years 09 Months 08 Days
Vedat Muriqi,Centre-Forward,Kosovo,20/21,€12.00m,€20.00m,Fenerbahce,SS Lazio,Süper Lig,Serie A,First Tier,First Tier,26 years 04 months 22 days,02 Years 09 Months 15 Days
Andrea Pinamonti,Centre-Forward,Italy,20/21,€13.50m,€19.50m,Inter Milan,Genoa CFC,Serie A,Serie A,First Tier,First Tier,21 years 03 months 13 days,
Raphinha,Right Winger,Brazil,20/21,€16.00m,€18.60m,Stade Rennais FC,Leeds United,Ligue 1,Premier League,First Tier,First Tier,23 years 09 months 21 days,02 Years 08 Months 25 Days
Bertrand Traoré,Right Winger,Burkina Faso,20/21,€9.50m,€18.40m,Olympique Lyon,Aston Villa,Ligue 1,Premier League,First Tier,First Tier,25 years 13 days,01 Years 09 Months 11 Days
Pedrinho,Right Winger,Brazil,20/21,€13.50m,€18.00m,Sport Club Corinthians Paulista,SL Benfica,Campeonato Brasileiro Série A,Liga NOS,First Tier,First Tier,22 years 03 months 19 days,03 Years 04 Months 29 Days
Eberechi Eze,Attacking Midfield,England,20/21,€9.00m,€17.80m,Queens Park Rangers,Crystal Palace,Championship,Premier League,Second Tier,First Tier,22 years 01 month 30 days,10 Months 02 Days
Hélder Costa,Right Winger,Angola,20/21,€8.00m,€17.70m,Wolverhampton Wanderers,Leeds United,Premier League,Premier League,First Tier,First Tier,26 years 05 months 19 days,11 Months 30 Days
Jordan Veretout,Defensive Midfield,France,20/21,€24.00m,€17.50m,ACF Fiorentina,AS Roma,Serie A,Serie A,First Tier,First Tier,27 years 06 months 03 days,01 Years 09 Months 29 Days
Emiliano Martínez,Goalkeeper,Argentina,20/21,€8.00m,€17.40m,Arsenal FC,Aston Villa,Premier League,Premier League,First Tier,First Tier,28 years 14 days,01 Years 09 Months 14 Days
Gerard Deulofeu,Centre-Forward,Spain,20/21,€12.00m,€17.00m,Watford FC,Udinese Calcio,Championship,Serie A,Second Tier,First Tier,26 years 10 months 17 days,02 Years 05 Months 00 Days
Matt Doherty,Right-Back,Ireland,20/21,€16.00m,€16.80m,Wolverhampton Wanderers,Tottenham Hotspur,Premier League,Premier League,First Tier,First Tier,28 years 07 months 14 days,
Krépin Diatta,Right Winger,Senegal,20/21,€18.00m,€16.70m,Club Brugge KV,AS Monaco,Jupiler Pro League,Ligue 1,First Tier,First Tier,21 years 10 months 27 days,03 Years 05 Months 09 Days
Pierre-Emile Höjbjerg,Central Midfield,Denmark,20/21,€20.00m,€16.60m,Southampton FC,Tottenham Hotspur,Premier League,Premier League,First Tier,First Tier,25 years 06 days,10 Months 19 Days
Jamal Lewis,Left-Back,Northern Ireland,20/21,€11.00m,€16.50m,Norwich City,Newcastle United,Championship,Premier League,Second Tier,First Tier,22 years 07 months 14 days,02 Years 09 Months 22 Days
Karlan Grant,Centre-Forward,England,20/21,€8.00m,€16.50m,Huddersfield Town,West Bromwich Albion,Championship,Premier League,Second Tier,First Tier,23 years 27 days,01 Years 08 Months 15 Days
Pervis Estupiñán,Left-Back,Ecuador,20/21,€15.00m,€16.40m,Watford FC,Villarreal CF,Championship,LaLiga,Second Tier,First Tier,22 years 07 months 26 days,09 Months 14 Days
Tomas Soucek,Defensive Midfield,Czech Republic,20/21,€12.00m,€16.20m,SK Slavia Prague,West Ham United,Fortuna Liga,Premier League,First Tier,First Tier,25 years 05 months 00 days,03 Years 11 Months 03 Days
Paulinho,Centre-Forward,Portugal,20/21,€15.00m,€16.00m,SC Braga,Sporting CP,Liga NOS,Liga NOS,First Tier,First Tier,28 years 02 months 22 days,02 Years 04 Months 30 Days
Pity Martínez,Attacking Midfield,Argentina,20/21,€12.00m,€16.00m,Atlanta United FC,Al-Nassr FC,Major League Soccer,Saudi Professional League,First Tier,First Tier,27 years 02 months 25 days,
Morgan Sanson,Central Midfield,France,20/21,€20.00m,€15.80m,Olympique Marseille,Aston Villa,Ligue 1,Premier League,First Tier,First Tier,26 years 05 months 08 days,01 Years 05 Months 04 Days
Antony,Right Winger,Brazil,20/21,€18.00m,€15.75m,São Paulo Futebol Clube,Ajax Amsterdam,Campeonato Brasileiro Série A,Eredivisie,First Tier,First Tier,20 years 04 months 07 days,04 Years 02 Months 30 Days
Matty Cash,Right-Back,Poland,20/21,€4.80m,€15.75m,Nottingham Forest,Aston Villa,Championship,Premier League,Second Tier,First Tier,23 years 27 days,02 Years 09 Months 27 Days
Alex Telles,Left-Back,Brazil,20/21,€40.00m,€15.00m,FC Porto,Manchester United,Liga NOS,Premier League,First Tier,First Tier,27 years 09 months 20 days,08 Months 25 Days
Chris Smalling,Centre-Back,England,20/21,€20.00m,€15.00m,Manchester United,AS Roma,Premier League,Serie A,First Tier,First Tier,30 years 10 months 13 days,01 Years 08 Months 25 Days
Geoffrey Kondogbia,Defensive Midfield,Central African Republic,20/21,€17.50m,€15.00m,Valencia CF,Atlético de Madrid,LaLiga,LaLiga,First Tier,First Tier,27 years 08 months 19 days,01 Years 07 Months 27 Days
Luca Waldschmidt,Second Striker,Germany,20/21,€16.00m,€15.00m,SC Freiburg,SL Benfica,Bundesliga,Liga NOS,First Tier,First Tier,24 years 02 months 26 days,01 Years 10 Months 16 Days
Alfred Duncan,Central Midfield,Ghana,20/21,€15.00m,€15.00m,US Sassuolo,ACF Fiorentina,Serie A,Serie A,First Tier,First Tier,27 years 05 months 22 days,01 Years 09 Months 29 Days
Nicolás Otamendi,Centre-Back,Argentina,20/21,€14.50m,€15.00m,Manchester City,SL Benfica,Premier League,Liga NOS,First Tier,First Tier,32 years 07 months 17 days,01 Years 09 Months 01 Days
Marko Rog,Central Midfield,Croatia,20/21,€13.00m,€15.00m,SSC Napoli,Cagliari Calcio,Serie A,Serie A,First Tier,First Tier,25 years 01 month 13 days,09 Months 29 Days
Rolando Mandragora,Defensive Midfield,Italy,20/21,€12.00m,€15.00m,Udinese Calcio,Juventus FC,Serie A,Serie A,First Tier,First Tier,23 years 03 months 04 days,02 Years 08 Months 27 Days
Jhon Córdoba,Centre-Forward,Colombia,20/21,€12.00m,€15.00m,1.FC Köln,Hertha BSC,Bundesliga,Bundesliga,First Tier,First Tier,27 years 04 months 04 days,09 Months 15 Days
Serhou Guirassy,Centre-Forward,Guinea,20/21,€8.00m,€15.00m,Amiens SC,Stade Rennais FC,Ligue 2,Ligue 1,Second Tier,First Tier,24 years 05 months 15 days,01 Years 10 Months 03 Days
Mario Pasalic,Attacking Midfield,Croatia,20/21,€25.00m,€14.50m,Chelsea FC,Atalanta BC,Premier League,Serie A,First Tier,First Tier,25 years 06 months 23 days,01 Years 09 Months 29 Days
Aleksey Miranchuk,Attacking Midfield,Russia,20/21,€18.00m,€14.50m,Lokomotiv Moscow,Atalanta BC,Premier Liga,Serie A,First Tier,First Tier,24 years 10 months 18 days,09 Months 26 Days
Pedro,Centre-Forward,Brazil,20/21,€12.00m,€14.00m,ACF Fiorentina,CR Flamengo,Serie A,Campeonato Brasileiro Série A,First Tier,First Tier,23 years 06 months 12 days,03 Years 05 Months 29 Days
Joakim Maehle,Left-Back,Denmark,20/21,€11.00m,€13.70m,KRC Genk,Atalanta BC,Jupiler Pro League,Serie A,First Tier,First Tier,23 years 07 months 15 days,02 Years 05 Months 26 Days
Óscar Rodríguez,Attacking Midfield,Spain,20/21,€15.00m,€13.50m,Real Madrid,Sevilla FC,LaLiga,LaLiga,First Tier,First Tier,22 years 02 months 01 day,02 Years 10 Months 01 Days
Grady Diangana,Right Winger,England,20/21,€4.50m,€13.50m,West Ham United,West Bromwich Albion,Premier League,Premier League,First Tier,First Tier,22 years 04 months 16 days,04 Years 09 Months 26 Days
Kyle Walker-Peters,Right-Back,England,20/21,€8.00m,€13.30m,Tottenham Hotspur,Southampton FC,Premier League,Premier League,First Tier,First Tier,23 years 03 months 29 days,02 Years 10 Months 19 Days
Robin Koch,Centre-Back,Germany,20/21,€17.00m,€13.00m,SC Freiburg,Leeds United,Bundesliga,Premier League,First Tier,First Tier,24 years 01 month 12 days,10 Months 01 Days
Giovanni Simeone,Centre-Forward,Argentina,20/21,€15.00m,€13.00m,ACF Fiorentina,Cagliari Calcio,Serie A,Serie A,First Tier,First Tier,25 years 01 month 27 days,02 Years 09 Months 29 Days
Axel Disasi,Centre-Back,France,20/21,€13.50m,€13.00m,Stade Reims,AS Monaco,Ligue 1,Ligue 1,First Tier,First Tier,22 years 04 months 27 days,10 Months 23 Days
Lucas Martínez Quarta,Centre-Back,Argentina,20/21,€10.00m,€13.00m,CA River Plate,ACF Fiorentina,Copa de la Liga Profesional de Fútbol,Serie A,League Cup,First Tier,24 years 04 months 25 days,08 Months 25 Days
Carles Pérez,Right Winger,Spain,20/21,€9.00m,€13.00m,FC Barcelona,AS Roma,LaLiga,Serie A,First Tier,First Tier,22 years 06 months 16 days,01 Years 09 Months 29 Days
Konstantinos Tsimikas,Left-Back,Greece,20/21,€9.00m,€13.00m,Olympiacos Piraeus,Liverpool FC,Super League 1,Premier League,First Tier,First Tier,24 years 02 months 29 days,01 Years 10 Months 20 Days
Dennis Man,Right Winger,Romania,20/21,€6.50m,€13.00m,FCSB,Parma Calcio 1913,Liga 1,Serie A,First Tier,First Tier,22 years 05 months 03 days,03 Years 05 Months 01 Days
Brenden Aaronson,Attacking Midfield,United States,20/21,€10.00m,€12.70m,Philadelphia Union,Red Bull Salzburg,Major League Soccer,Bundesliga,First Tier,First Tier,20 years 02 months 10 days,
Jean-Daniel Akpa Akpro,Central Midfield,Cote d'Ivoire,20/21,€600k,€12.70m,US Salernitana 1919,SS Lazio,Serie B,Serie A,Second Tier,First Tier,27 years 11 months 07 days,09 Months 12 Days
Federico Chiesa,Left Winger,Italy,20/21,€48.00m,Loan fee:€12.60m,ACF Fiorentina,Juventus FC,Serie A,Serie A,First Tier,First Tier,22 years 11 months 10 days,01 Years 08 Months 25 Days
Joe Rodon,Centre-Back,Wales,20/21,€7.00m,€12.10m,Swansea City,Tottenham Hotspur,Championship,Premier League,Second Tier,First Tier,22 years 11 months 24 days,01 Years 08 Months 14 Days
Ibrahima Diallo,Defensive Midfield,France,20/21,€15.00m,€12.00m,Stade Brestois 29,Southampton FC,Ligue 1,Premier League,First Tier,First Tier,21 years 06 months 26 days,02 Years 08 Months 26 Days
Dejan Lovren,Centre-Back,Croatia,20/21,€12.00m,€12.00m,Liverpool FC,Zenit St. Petersburg,Premier League,Premier Liga,First Tier,First Tier,31 years 27 days,10 Months 29 Days
Oussama Idrissi,Left Winger,Morocco,20/21,€12.00m,€12.00m,AZ Alkmaar,Sevilla FC,Eredivisie,LaLiga,First Tier,First Tier,24 years 07 months 09 days,01 Years 08 Months 25 Days
Mohammed Salisu,Centre-Back,Ghana,20/21,€12.00m,€12.00m,Real Valladolid CF,Southampton FC,LaLiga,Premier League,First Tier,First Tier,21 years 03 months 26 days,01 Years 10 Months 18 Days
Martin Terrier,Left Winger,France,20/21,€10.50m,€12.00m,Olympique Lyon,Stade Rennais FC,Ligue 1,Ligue 1,First Tier,First Tier,23 years 04 months 02 days,01 Years 11 Months 24 Days
Hee-chan Hwang,Centre-Forward,"Korea, South",20/21,€10.00m,€12.00m,Red Bull Salzburg,RB Leipzig,Bundesliga,Bundesliga,First Tier,First Tier,24 years 05 months 19 days,11 Months 15 Days
Álex Berenguer,Left Winger,Spain,20/21,€6.00m,€12.00m,Torino FC,Athletic Bilbao,Serie A,LaLiga,First Tier,First Tier,25 years 02 months 28 days,01 Years 08 Months 28 Days
Manolo Portanova,Central Midfield,Italy,20/21,€1.00m,€12.00m,Juventus FC,Genoa CFC,Serie A,Serie A,First Tier,First Tier,20 years 07 months 26 days,02 Years 05 Months 02 Days
Brenner,Centre-Forward,Brazil,20/21,€1.30m,€11.82m,São Paulo Futebol Clube,FC Cincinnati,Campeonato Brasileiro Série A,Major League Soccer,First Tier,First Tier,21 years 20 days,01 Years 10 Months 26 Days
Marc Cucurella,Left-Back,Spain,20/21,€18.00m,€11.80m,FC Barcelona,Getafe CF,LaLiga,LaLiga,First Tier,First Tier,21 years 11 months 09 days,11 Months 30 Days
Davy Klaassen,Attacking Midfield,Netherlands,20/21,€12.00m,€11.70m,SV Werder Bremen,Ajax Amsterdam,Bundesliga,Eredivisie,First Tier,First Tier,27 years 07 months 14 days,01 Years 08 Months 25 Days
Anthony Knockaert,Right Winger,France,20/21,€6.50m,€11.70m,Brighton & Hove Albion,Fulham FC,Premier League,Premier League,First Tier,First Tier,28 years 08 months 07 days,01 Years 11 Months 03 Days
Karl Toko Ekambi,Left Winger,Cameroon,20/21,€14.00m,€11.50m,Villarreal CF,Olympique Lyon,LaLiga,Ligue 1,First Tier,First Tier,27 years 09 months 17 days,02 Years 11 Months 30 Days
Chidera Ejuke,Left Winger,Nigeria,20/21,€5.50m,€11.50m,SC Heerenveen,CSKA Moscow,Eredivisie,Premier Liga,First Tier,First Tier,22 years 07 months 26 days,02 Years 10 Months 02 Days
Marcos Acuña,Left-Back,Argentina,20/21,€12.00m,€11.25m,Sporting CP,Sevilla FC,Liga NOS,LaLiga,First Tier,First Tier,28 years 10 months 17 days,02 Years 09 Months 16 Days
Kevin Volland,Centre-Forward,Germany,20/21,€28.00m,€11.00m,Bayer 04 Leverkusen,AS Monaco,Bundesliga,Ligue 1,First Tier,First Tier,28 years 01 month 03 days,09 Months 28 Days
Christian Kouamé,Centre-Forward,Cote d'Ivoire,20/21,€17.50m,€11.00m,Genoa CFC,ACF Fiorentina,Serie A,Serie A,First Tier,First Tier,22 years 08 months 26 days,02 Years 09 Months 29 Days
Pol Lirola,Right-Back,Spain,20/21,€10.00m,€11.00m,US Sassuolo,ACF Fiorentina,Serie A,Serie A,First Tier,First Tier,23 years 19 days,09 Months 29 Days
Grégoire Defrel,Centre-Forward,France,20/21,€8.00m,€11.00m,AS Roma,US Sassuolo,Serie A,Serie A,First Tier,First Tier,29 years 02 months 15 days,01 Years 09 Months 29 Days
Kevin Bonifazi,Centre-Back,Italy,20/21,€4.00m,€11.00m,Torino FC,SPAL,Serie A,Serie B,First Tier,Second Tier,24 years 03 months 13 days,03 Years 09 Months 29 Days
Jeremie Frimpong,Right-Back,Netherlands,20/21,€4.00m,€11.00m,Celtic FC,Bayer 04 Leverkusen,Scottish Premiership,Bundesliga,First Tier,First Tier,20 years 01 month 17 days,02 Years 05 Months 03 Days
Jakub Moder,Central Midfield,Poland,20/21,€3.00m,€11.00m,Lech Poznan,Brighton & Hove Albion,PKO Ekstraklasa,Premier League,First Tier,First Tier,21 years 05 months 27 days,02 Years 08 Months 26 Days
Félix Correia,Left Winger,Portugal,20/21,€1.00m,€10.50m,Manchester City U23,Juventus U23,Premier League 2,Serie C - Girone A,Reserve league,Third Tier,19 years 07 months 10 days,03 Years 09 Months 29 Days
Habib Diallo,Centre-Forward,Senegal,20/21,€12.00m,€10.00m,FC Metz,RC Strasbourg Alsace,Ligue 1,Ligue 1,First Tier,First Tier,25 years 03 months 17 days,01 Years 08 Months 25 Days
Carlos Fernández,Centre-Forward,Spain,20/21,€9.00m,€10.00m,Sevilla FC,Real Sociedad,LaLiga,LaLiga,First Tier,First Tier,24 years 08 months 02 days,01 Years 05 Months 06 Days
Ridle Baku,Right-Back,Germany,20/21,€7.00m,€10.00m,1.FSV Mainz 05,VfL Wolfsburg,Bundesliga,Bundesliga,First Tier,First Tier,22 years 05 months 23 days,01 Years 08 Months 30 Days
Baptiste Santamaria,Defensive Midfield,France,20/21,€7.00m,€10.00m,Angers SCO,SC Freiburg,Ligue 1,Bundesliga,First Tier,First Tier,25 years 06 months 08 days,01 Years 09 Months 13 Days
Alfred Gomis,Goalkeeper,Senegal,20/21,€2.40m,€10.00m,Dijon FCO,Stade Rennais FC,Ligue 1,Ligue 1,First Tier,First Tier,27 years 24 days,03 Years 09 Months 01 Days
Pablo Moreno,Centre-Forward,Spain,20/21,-,€10.00m,Juventus Primavera,Manchester City U23,Primavera 1,Premier League 2,Youth league,Reserve league,18 years 01 month 28 days,11 Months 30 Days
Ki-Jana Hoever,Right-Back,Netherlands,20/21,€3.60m,€9.80m,Liverpool FC U23,Wolverhampton Wanderers,Premier League 2,Premier League,Reserve league,First Tier,18 years 08 months 01 day,
Vlad Chiriches,Centre-Back,Romania,20/21,€5.00m,€9.50m,SSC Napoli,US Sassuolo,Serie A,Serie A,First Tier,First Tier,30 years 09 months 18 days,01 Years 09 Months 29 Days
Valentin Mihaila,Left Winger,Romania,20/21,€2.50m,€9.10m,Universitatea Craiova,Parma Calcio 1913,Liga 1,Serie A,First Tier,First Tier,20 years 08 months 03 days,08 Months 25 Days
Luis Suárez,Centre-Forward,Uruguay,20/21,€28.00m,€9.00m,FC Barcelona,Atlético de Madrid,LaLiga,LaLiga,First Tier,First Tier,33 years 05 months 07 days,11 Months 30 Days
Marc Roca,Defensive Midfield,Spain,20/21,€16.00m,€9.00m,RCD Espanyol Barcelona,Bayern Munich,LaLiga2,Bundesliga,Second Tier,First Tier,23 years 10 months 08 days,
Mohammed Kudus,Attacking Midfield,Ghana,20/21,€9.00m,€9.00m,FC Nordsjaelland,Ajax Amsterdam,Superligaen,Eredivisie,First Tier,First Tier,19 years 11 months 29 days,
Enes Ünal,Centre-Forward,Turkey,20/21,€8.00m,€9.00m,Villarreal CF,Getafe CF,LaLiga,LaLiga,First Tier,First Tier,23 years 03 months 02 days,01 Years 10 Months 18 Days
Eldor Shomurodov,Centre-Forward,Uzbekistan,20/21,€6.50m,€9.00m,FK Rostov,Genoa CFC,Premier Liga,Serie A,First Tier,First Tier,25 years 03 months 02 days,03 Years 08 Months 30 Days
Umar Sadiq,Centre-Forward,Nigeria,20/21,€6.00m,€9.00m,FK Partizan Belgrade,UD Almería,Super liga Srbije,LaLiga2,First Tier,Second Tier,23 years 08 months 03 days,02 Years 02 Months 26 Days
Manu Koné,Central Midfield,France,20/21,€5.00m,€9.00m,FC Toulouse,Borussia Mönchengladbach,Ligue 2,Bundesliga,Second Tier,First Tier,19 years 08 months 04 days,01 Years 05 Months 09 Days
Adrian Grbic,Centre-Forward,Austria,20/21,€2.00m,€9.00m,Clermont Foot 63,FC Lorient,Ligue 2,Ligue 1,Second Tier,First Tier,23 years 11 months 04 days,01 Years 11 Months 22 Days
Evanilson,Centre-Forward,Brazil,20/21,€7.50m,€8.80m,Tombense Futebol Clube (MG),FC Porto,Campeonato Brasileiro Série C,Liga NOS,Third Tier,First Tier,20 years 11 months 03 days,
Quincy Promes,Left Winger,Netherlands,20/21,€15.00m,€8.50m,Ajax Amsterdam,Spartak Moscow,Eredivisie,Premier Liga,First Tier,First Tier,29 years 01 month 20 days,03 Years 04 Months 06 Days
Adolfo Gaich,Centre-Forward,Argentina,20/21,€11.00m,€8.50m,CA San Lorenzo de Almagro,CSKA Moscow,Copa de la Liga Profesional de Fútbol,Premier Liga,League Cup,First Tier,21 years 05 months 10 days,10 Months 25 Days
Seko Fofana,Central Midfield,Cote d'Ivoire,20/21,€9.50m,€8.50m,Udinese Calcio,RC Lens,Serie A,Ligue 1,First Tier,First Tier,25 years 03 months 11 days,01 Years 10 Months 12 Days
Filip Stevanovic,Left Winger,Serbia,20/21,€8.00m,€8.50m,FK Partizan Belgrade,Manchester City U23,Super liga Srbije,Premier League 2,First Tier,Reserve league,18 years 03 months 07 days,01 Years 05 Months 29 Days
Nikola Moro,Defensive Midfield,Croatia,20/21,€6.00m,€8.50m,GNK Dinamo Zagreb,Dynamo Moscow,1.HNL,Premier Liga,First Tier,First Tier,22 years 05 months 05 days,04 Years 05 Months 03 Days
