name,position,country,season,market value,transfer fee,left,joined,old club league,new club league,old club league type,new club league type,age,contract remaining
Clément Lenglet,Centre-Back,France,18/19,€36.00m,€35.90m,Sevilla FC,FC Barcelona,LaLiga,LaLiga,First Tier,First Tier,23 years 25 days,02 Years 11 Months 18 Days
Thibaut Courtois,Goalkeeper,Belgium,18/19,€65.00m,€35.00m,Chelsea FC,Real Madrid,Premier League,LaLiga,First Tier,First Tier,26 years 02 months 29 days,
Leonardo Bonucci,Centre-Back,Italy,18/19,€35.00m,€35.00m,AC Milan,Juventus FC,Serie A,Serie A,First Tier,First Tier,31 years 03 months 02 days,03 Years 10 Months 28 Days
Shoya Nakajima,Attacking Midfield,Japan,18/19,€18.00m,€35.00m,Portimonense SC,Al-Duhail SC,Liga NOS,Qatar Stars League,First Tier,First Tier,24 years 05 months 11 days,01 Years 04 Months 27 Days
Krzysztof Piatek,Centre-Forward,Poland,18/19,€15.00m,€35.00m,Genoa CFC,AC Milan,Serie A,Serie A,First Tier,First Tier,23 years 06 months 23 days,03 Years 05 Months 07 Days
Álvaro Odriozola,Right-Back,Spain,18/19,€25.00m,€32.00m,Real Sociedad,Real Madrid,LaLiga,LaLiga,First Tier,First Tier,22 years 06 months 21 days,03 Years 11 Months 25 Days
Arthur Melo,Central Midfield,Brazil,18/19,€30.00m,€31.00m,Grêmio Foot-Ball Porto Alegrense,FC Barcelona,Campeonato Brasileiro Série A,LaLiga,First Tier,First Tier,21 years 10 months 27 days,03 Years 05 Months 22 Days
Jefferson Lerma,Defensive Midfield,Colombia,18/19,€2.00m,€30.50m,Levante UD,AFC Bournemouth,LaLiga,Premier League,First Tier,First Tier,23 years 09 months 13 days,03 Years 10 Months 23 Days
Yerry Mina,Centre-Back,Colombia,18/19,€20.00m,€30.25m,FC Barcelona,Everton FC,LaLiga,Premier League,First Tier,First Tier,23 years 10 months 17 days,04 Years 10 Months 21 Days
Jean Michaël Seri,Central Midfield,Cote d'Ivoire,18/19,€30.00m,€30.00m,OGC Nice,Fulham FC,Ligue 1,Premier League,First Tier,First Tier,26 years 11 months 23 days,11 Months 18 Days
Aleksandr Golovin,Attacking Midfield,Russia,18/19,€25.00m,€30.00m,CSKA Moscow,AS Monaco,Premier Liga,Ligue 1,First Tier,First Tier,22 years 01 month 27 days,02 Years 11 Months 03 Days
Fabián Ruiz,Central Midfield,Spain,18/19,€20.00m,€30.00m,Real Betis Balompié,SSC Napoli,LaLiga,Serie A,First Tier,First Tier,22 years 03 months 02 days,04 Years 11 Months 25 Days
Anthony Modeste,Centre-Forward,France,18/19,€16.00m,€29.00m,1.FC Köln,Tianjin Tianhai (-2019),2. Bundesliga,Chinese Super League,Second Tier,First Tier,30 years 02 months 17 days,02 Years 11 Months 30 Days
Lucas Torreira,Defensive Midfield,Uruguay,18/19,€30.00m,€28.65m,UC Sampdoria,Arsenal FC,Serie A,Premier League,First Tier,First Tier,22 years 04 months 29 days,03 Years 11 Months 20 Days
Abdou Diallo,Centre-Back,Senegal,18/19,€12.00m,€28.00m,1.FSV Mainz 05,Borussia Dortmund,Bundesliga,Bundesliga,First Tier,First Tier,22 years 01 month 27 days,03 Years 11 Months 30 Days
Steven Nzonzi,Defensive Midfield,France,18/19,€30.00m,€26.65m,Sevilla FC,AS Roma,LaLiga,Serie A,First Tier,First Tier,29 years 07 months 30 days,01 Years 10 Months 16 Days
Kevin Strootman,Central Midfield,Netherlands,18/19,€28.00m,€25.00m,AS Roma,Olympique Marseille,Serie A,Ligue 1,First Tier,First Tier,28 years 06 months 15 days,03 Years 10 Months 02 Days
Lautaro Martínez,Centre-Forward,Argentina,18/19,€25.00m,€25.00m,Racing Club,Inter Milan,Superliga,Serie A,First Tier,First Tier,20 years 10 months 12 days,01 Years 11 Months 26 Days
Issa Diop,Centre-Back,France,18/19,€22.00m,€25.00m,FC Toulouse,West Ham United,Ligue 1,Premier League,First Tier,First Tier,21 years 05 months 22 days,01 Years 11 Months 30 Days
Bernd Leno,Goalkeeper,Germany,18/19,€20.00m,€25.00m,Bayer 04 Leverkusen,Arsenal FC,Bundesliga,Premier League,First Tier,First Tier,26 years 03 months 27 days,01 Years 11 Months 30 Days
Jannik Vestergaard,Centre-Back,Denmark,18/19,€14.00m,€25.00m,Borussia Mönchengladbach,Southampton FC,Bundesliga,Premier League,First Tier,First Tier,25 years 11 months 10 days,02 Years 11 Months 17 Days
James Maddison,Attacking Midfield,England,18/19,€10.00m,€25.00m,Norwich City,Leicester City,Championship,Premier League,Second Tier,First Tier,21 years 07 months 08 days,11 Months 30 Days
Frank Anguissa,Central Midfield,Cameroon,18/19,€18.00m,€24.85m,Olympique Marseille,Fulham FC,Ligue 1,Premier League,First Tier,First Tier,22 years 08 months 24 days,02 Years 10 Months 21 Days
Javier Pastore,Attacking Midfield,Argentina,18/19,€15.00m,€24.70m,Paris Saint-Germain,AS Roma,Ligue 1,Serie A,First Tier,First Tier,29 years 11 days,11 Months 30 Days
Aleksandar Mitrović,Centre-Forward,Serbia,18/19,€15.00m,€24.70m,Newcastle United,Fulham FC,Premier League,Premier League,First Tier,First Tier,23 years 10 months 14 days,01 Years 11 Months 00 Days
Simone Verdi,Attacking Midfield,Italy,18/19,€25.00m,€24.50m,Bologna FC 1909,SSC Napoli,Serie A,Serie A,First Tier,First Tier,25 years 11 months 19 days,02 Years 11 Months 30 Days
Yuri Berchiche,Left-Back,Spain,18/19,€17.00m,€24.00m,Paris Saint-Germain,Athletic Bilbao,Ligue 1,LaLiga,First Tier,First Tier,28 years 04 months 22 days,02 Years 11 Months 28 Days
Miguel Almirón,Right Winger,Paraguay,18/19,€15.00m,€24.00m,Atlanta United FC,Newcastle United,Major League Soccer,Premier League,First Tier,First Tier,24 years 11 months 21 days,01 Years 11 Months 00 Days
Alassane Plea,Left Winger,France,18/19,€18.00m,€23.00m,OGC Nice,Borussia Mönchengladbach,Ligue 1,Bundesliga,First Tier,First Tier,25 years 04 months 03 days,02 Years 11 Months 17 Days
Nikola Kalinic,Centre-Forward,Croatia,18/19,€14.00m,€22.50m,ACF Fiorentina,AC Milan,Serie A,Serie A,First Tier,First Tier,30 years 05 months 26 days,11 Months 30 Days
Gelson Martins,Right Winger,Portugal,18/19,€35.00m,€22.00m,Sporting CP,Atlético de Madrid,Liga NOS,LaLiga,First Tier,First Tier,23 years 02 months 14 days,03 Years 11 Months 05 Days
Geoffrey Kondogbia,Defensive Midfield,Central African Republic,18/19,€30.00m,€22.00m,Inter Milan,Valencia CF,Serie A,LaLiga,First Tier,First Tier,25 years 04 months 16 days,02 Years 11 Months 30 Days
Ricardo Pereira,Right-Back,Portugal,18/19,€20.00m,€22.00m,FC Porto,Leicester City,Liga NOS,Premier League,First Tier,First Tier,24 years 08 months 25 days,11 Months 30 Days
Diogo Dalot,Right-Back,Portugal,18/19,€15.00m,€22.00m,FC Porto,Manchester United,Liga NOS,Premier League,First Tier,First Tier,19 years 03 months 13 days,11 Months 30 Days
Moussa Dembélé,Centre-Forward,France,18/19,€7.00m,€22.00m,Celtic FC,Olympique Lyon,Scottish Premiership,Ligue 1,First Tier,First Tier,22 years 01 month 19 days,01 Years 09 Months 00 Days
Mariano Díaz,Centre-Forward,Dominican Republic,18/19,€22.00m,€21.50m,Olympique Lyon,Real Madrid,Ligue 1,LaLiga,First Tier,First Tier,25 years 28 days,03 Years 10 Months 01 Days
Samu Castillejo,Right Winger,Spain,18/19,€15.00m,€21.30m,Villarreal CF,AC Milan,LaLiga,Serie A,First Tier,First Tier,23 years 06 months 30 days,01 Years 10 Months 13 Days
Dominic Solanke,Centre-Forward,England,18/19,€10.00m,€21.20m,Liverpool FC,AFC Bournemouth,Premier League,Premier League,First Tier,First Tier,21 years 03 months 21 days,03 Years 05 Months 26 Days
Caglar Söyüncü,Centre-Back,Turkey,18/19,€18.00m,€21.10m,SC Freiburg,Leicester City,Bundesliga,Premier League,First Tier,First Tier,22 years 02 months 17 days,02 Years 10 Months 21 Days
Quincy Promes,Left Winger,Netherlands,18/19,€24.00m,€21.00m,Spartak Moscow,Sevilla FC,Premier Liga,LaLiga,First Tier,First Tier,26 years 07 months 27 days,02 Years 09 Months 30 Days
Jonny Otto,Left-Back,Spain,18/19,€12.00m,€21.00m,Atlético de Madrid,Wolverhampton Wanderers,LaLiga,Premier League,First Tier,First Tier,24 years 10 months 28 days,05 Years 04 Months 30 Days
Lucas Digne,Left-Back,France,18/19,€15.00m,€20.20m,FC Barcelona,Everton FC,LaLiga,Premier League,First Tier,First Tier,25 years 12 days,02 Years 10 Months 29 Days
Marek Hamsik,Central Midfield,Slovakia,18/19,€30.00m,€20.00m,SSC Napoli,Dalian Yifang,Serie A,Chinese Super League,First Tier,First Tier,31 years 06 months 18 days,01 Years 04 Months 16 Days
Rodri,Defensive Midfield,Spain,18/19,€25.00m,€20.00m,Villarreal CF,Atlético de Madrid,LaLiga,LaLiga,First Tier,First Tier,22 years 09 days,03 Years 11 Months 30 Days
Andriy Yarmolenko,Right Winger,Ukraine,18/19,€23.00m,€20.00m,Borussia Dortmund,West Ham United,Bundesliga,Premier League,First Tier,First Tier,28 years 08 months 18 days,02 Years 11 Months 19 Days
Axel Witsel,Defensive Midfield,Belgium,18/19,€20.00m,€20.00m,Tianjin Tianhai (-2019),Borussia Dortmund,Chinese Super League,Bundesliga,First Tier,First Tier,29 years 06 months 25 days,01 Years 04 Months 25 Days
Gerard Moreno,Centre-Forward,Spain,18/19,€20.00m,€20.00m,RCD Espanyol Barcelona,Villarreal CF,LaLiga,LaLiga,First Tier,First Tier,26 years 02 months 24 days,01 Years 11 Months 30 Days
Thomas Delaney,Central Midfield,Denmark,18/19,€12.00m,€20.00m,SV Werder Bremen,Borussia Dortmund,Bundesliga,Bundesliga,First Tier,First Tier,26 years 09 months 28 days,02 Years 11 Months 30 Days
Benjamin Henrichs,Right-Back,Germany,18/19,€12.00m,€20.00m,Bayer 04 Leverkusen,AS Monaco,Bundesliga,Ligue 1,First Tier,First Tier,21 years 06 months 05 days,03 Years 10 Months 02 Days
Terence Kongolo,Centre-Back,Netherlands,18/19,€10.00m,€20.00m,AS Monaco,Huddersfield Town,Ligue 1,Premier League,First Tier,First Tier,24 years 04 months 17 days,03 Years 11 Months 30 Days
Rolando Mandragora,Defensive Midfield,Italy,18/19,€10.00m,€20.00m,Juventus FC,Udinese Calcio,Serie A,Serie A,First Tier,First Tier,21 years 27 days,02 Years 11 Months 04 Days
Adama Traoré,Right Winger,Spain,18/19,€8.00m,€20.00m,Middlesbrough FC,Wolverhampton Wanderers,Championship,Premier League,Second Tier,First Tier,22 years 06 months 14 days,01 Years 10 Months 22 Days
Willem Geubbels,Left Winger,France,18/19,€6.00m,€20.00m,Olympique Lyon,AS Monaco,Ligue 1,Ligue 1,First Tier,First Tier,16 years 10 months 15 days,11 Months 30 Days
Talisca,Attacking Midfield,Brazil,18/19,€25.00m,€19.20m,SL Benfica,Guangzhou Evergrande Taobao,Liga NOS,Chinese Super League,First Tier,First Tier,24 years 11 months 00 days,01 Years 05 Months 29 Days
Amadou Haidara,Central Midfield,Mali,18/19,€20.00m,€19.00m,Red Bull Salzburg,RB Leipzig,Bundesliga,Bundesliga,First Tier,First Tier,20 years 11 months 01 day,03 Years 04 Months 29 Days
Diego Laxalt,Left-Back,Uruguay,18/19,€18.00m,€19.00m,Genoa CFC,AC Milan,Serie A,Serie A,First Tier,First Tier,25 years 06 months 10 days,03 Years 10 Months 13 Days
Alireza Jahanbakhsh,Right Winger,Iran,18/19,€18.00m,€19.00m,AZ Alkmaar,Brighton & Hove Albion,Eredivisie,Premier League,First Tier,First Tier,24 years 11 months 14 days,01 Years 11 Months 05 Days
Duje Caleta-Car,Centre-Back,Croatia,18/19,€10.00m,€19.00m,Red Bull Salzburg,Olympique Marseille,Bundesliga,Ligue 1,First Tier,First Tier,21 years 10 months 03 days,02 Years 11 Months 10 Days
Paulinho,Left Winger,Brazil,18/19,€25.00m,€18.50m,Clube de Regatas Vasco da Gama,Bayer 04 Leverkusen,Campeonato Brasileiro Série A,Bundesliga,First Tier,First Tier,18 years 01 day,01 Years 06 Months 15 Days
Duván Zapata,Centre-Forward,Colombia,18/19,€20.00m,€18.50m,SSC Napoli,UC Sampdoria,Serie A,Serie A,First Tier,First Tier,27 years 02 months 30 days,01 Years 11 Months 30 Days
Álvaro Morata,Centre-Forward,Spain,18/19,€50.00m,Loan fee:€18.00m,Chelsea FC,Atlético de Madrid,Premier League,LaLiga,First Tier,First Tier,26 years 03 months 05 days,03 Years 05 Months 02 Days
Arturo Vidal,Central Midfield,Chile,18/19,€35.00m,€18.00m,Bayern Munich,FC Barcelona,Bundesliga,LaLiga,First Tier,First Tier,31 years 02 months 15 days,10 Months 24 Days
Karl Toko Ekambi,Left Winger,Cameroon,18/19,€18.00m,€18.00m,Angers SCO,Villarreal CF,Ligue 1,LaLiga,First Tier,First Tier,25 years 09 months 17 days,01 Years 11 Months 30 Days
Rui Patrício,Goalkeeper,Portugal,18/19,€16.00m,€18.00m,Sporting CP,Wolverhampton Wanderers,Liga NOS,Premier League,First Tier,First Tier,30 years 04 months 16 days,03 Years 11 Months 30 Days
Mohamed Elyounoussi,Left Winger,Norway,18/19,€8.50m,€18.00m,FC Basel 1893,Southampton FC,Super League,Premier League,First Tier,First Tier,23 years 10 months 27 days,02 Years 11 Months 30 Days
Joaquín Correa,Second Striker,Argentina,18/19,€10.00m,€17.85m,Sevilla FC,SS Lazio,LaLiga,Serie A,First Tier,First Tier,23 years 11 months 19 days,02 Years 10 Months 29 Days
Justin Kluivert,Left Winger,Netherlands,18/19,€15.00m,€17.25m,Ajax Amsterdam,AS Roma,Eredivisie,Serie A,First Tier,First Tier,19 years 01 month 26 days,11 Months 30 Days
Brahim Díaz,Attacking Midfield,Spain,18/19,€5.00m,€17.00m,Manchester City,Real Madrid,Premier League,LaLiga,First Tier,First Tier,19 years 05 months 03 days,05 Months 24 Days
Ben Gibson,Centre-Back,England,18/19,€10.00m,€16.90m,Middlesbrough FC,Burnley FC,Championship,Premier League,Second Tier,First Tier,25 years 06 months 21 days,02 Years 10 Months 25 Days
Alfie Mawson,Centre-Back,England,18/19,€15.00m,€16.85m,Swansea City,Fulham FC,Championship,Premier League,Second Tier,First Tier,24 years 06 months 14 days,01 Years 10 Months 28 Days
Yves Bissouma,Central Midfield,Mali,18/19,€8.00m,€16.80m,LOSC Lille,Brighton & Hove Albion,Ligue 1,Premier League,First Tier,First Tier,21 years 10 months 17 days,11 Months 13 Days
Ahmed Musa,Right Winger,Nigeria,18/19,€15.00m,€16.50m,Leicester City,Al-Nassr FC,Premier League,Saudi Professional League,First Tier,First Tier,25 years 09 months 19 days,01 Years 10 Months 28 Days
William Carvalho,Defensive Midfield,Portugal,18/19,€25.00m,€16.00m,Sporting CP,Real Betis Balompié,Liga NOS,LaLiga,First Tier,First Tier,26 years 03 months 06 days,01 Years 11 Months 17 Days
Sokratis Papastathopoulos,Centre-Back,Greece,18/19,€20.00m,€16.00m,Borussia Dortmund,Arsenal FC,Bundesliga,Premier League,First Tier,First Tier,30 years 23 days,11 Months 28 Days
Kévin Gameiro,Centre-Forward,France,18/19,€20.00m,€16.00m,Atlético de Madrid,Valencia CF,LaLiga,LaLiga,First Tier,First Tier,31 years 03 months 03 days,01 Years 10 Months 18 Days
Daley Blind,Left-Back,Netherlands,18/19,€18.00m,€16.00m,Manchester United,Ajax Amsterdam,Premier League,Eredivisie,First Tier,First Tier,28 years 04 months 08 days,11 Months 13 Days
Sebastian Rudy,Defensive Midfield,Germany,18/19,€15.00m,€16.00m,Bayern Munich,FC Schalke 04,Bundesliga,Bundesliga,First Tier,First Tier,28 years 05 months 30 days,01 Years 10 Months 03 Days
Nordi Mukiele,Right-Back,France,18/19,€14.00m,€16.00m,Montpellier HSC,RB Leipzig,Ligue 1,Bundesliga,First Tier,First Tier,20 years 07 months 30 days,03 Years 11 Months 30 Days
Leonardo Balerdi,Centre-Back,Argentina,18/19,€2.50m,€15.50m,CA Boca Juniors,Borussia Dortmund,Superliga,Bundesliga,First Tier,First Tier,19 years 11 months 19 days,02 Years 05 Months 16 Days
Wilmar Barrios,Defensive Midfield,Colombia,18/19,€12.00m,€15.00m,CA Boca Juniors,Zenit St. Petersburg,Superliga,Premier Liga,First Tier,First Tier,25 years 03 months 16 days,02 Years 04 Months 29 Days
Grégoire Defrel,Centre-Forward,France,18/19,€10.00m,€15.00m,US Sassuolo,AS Roma,Serie A,Serie A,First Tier,First Tier,27 years 14 days,01 Years 11 Months 30 Days
Mouctar Diakhaby,Centre-Back,Guinea,18/19,€10.00m,€15.00m,Olympique Lyon,Valencia CF,Ligue 1,LaLiga,First Tier,First Tier,21 years 06 months 12 days,03 Years 11 Months 30 Days
Giorgian de Arrascaeta,Attacking Midfield,Uruguay,18/19,€9.00m,€15.00m,Cruzeiro Esporte Clube,CR Flamengo,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,First Tier,First Tier,24 years 07 months 11 days,02 Years 11 Months 19 Days
João Carvalho,Attacking Midfield,Portugal,18/19,€2.50m,€15.00m,SL Benfica,Nottingham Forest,Liga NOS,Championship,First Tier,Second Tier,21 years 03 months 22 days,02 Years 11 Months 30 Days
Diego Rico,Left-Back,Spain,18/19,€2.50m,€15.00m,CD Leganés,AFC Bournemouth,LaLiga,Premier League,First Tier,First Tier,25 years 05 months 01 day,02 Years 11 Months 06 Days
Matheus Cunha,Centre-Forward,Brazil,18/19,€1.50m,€15.00m,FC Sion,RB Leipzig,Super League,Bundesliga,First Tier,First Tier,19 years 01 month 04 days,02 Years 11 Months 30 Days
Tetê,Right Winger,Brazil,18/19,-,€15.00m,Grêmio Foot-Ball Porto Alegrense,Shakhtar Donetsk,Campeonato Brasileiro Série A,Premier Liga,First Tier,First Tier,19 years 13 days,
Roger Martínez,Left Winger,Colombia,18/19,€2.50m,€14.90m,Jiangsu Suning,Villarreal CF,Chinese Super League,LaLiga,First Tier,First Tier,24 years 08 days,02 Years 11 Days
Xherdan Shaqiri,Attacking Midfield,Switzerland,18/19,€18.00m,€14.70m,Stoke City,Liverpool FC,Championship,Premier League,Second Tier,First Tier,26 years 09 months 03 days,01 Years 11 Months 17 Days
Pity Martínez,Attacking Midfield,Argentina,18/19,€20.00m,€14.50m,CA River Plate,Atlanta United FC,Superliga,Major League Soccer,First Tier,First Tier,25 years 07 months 11 days,01 Years 05 Months 06 Days
Nikola Kalinic,Centre-Forward,Croatia,18/19,€14.00m,€14.50m,AC Milan,Atlético de Madrid,Serie A,LaLiga,First Tier,First Tier,30 years 07 months 04 days,02 Years 10 Months 21 Days
Filip Benkovic,Centre-Back,Croatia,18/19,€11.00m,€14.50m,GNK Dinamo Zagreb,Leicester City,1.HNL,Premier League,First Tier,First Tier,21 years 27 days,03 Years 10 Months 21 Days
Rodolfo Pizarro,Attacking Midfield,Mexico,18/19,€5.50m,€14.50m,Deportivo Guadalajara,CF Monterrey,Liga MX Clausura,Liga MX Clausura,First Tier,First Tier,24 years 04 months 16 days,03 Years 06 Months 00 Days
Ibrahim Amadou,Defensive Midfield,France,18/19,€3.50m,€14.40m,LOSC Lille,Sevilla FC,Ligue 1,LaLiga,First Tier,First Tier,25 years 02 months 25 days,01 Years 11 Months 30 Days
Mattia Perin,Goalkeeper,Italy,18/19,€16.00m,€14.20m,Genoa CFC,Juventus FC,Serie A,Serie A,First Tier,First Tier,25 years 07 months 21 days,11 Months 30 Days
Duván Zapata,Centre-Forward,Colombia,18/19,€20.00m,Loan fee:€14.00m,UC Sampdoria,Atalanta BC,Serie A,Serie A,First Tier,First Tier,27 years 03 months 10 days,03 Years 11 Months 18 Days
Diogo Jota,Left Winger,Portugal,18/19,€12.00m,€14.00m,Atlético de Madrid,Wolverhampton Wanderers,LaLiga,Premier League,First Tier,First Tier,21 years 06 months 27 days,02 Years 11 Months 30 Days
Alphonso Davies,Left-Back,Canada,18/19,€10.00m,€14.00m,Vancouver Whitecaps FC,Bayern Munich,Major League Soccer,Bundesliga,First Tier,First Tier,18 years 01 month 30 days,
Rachid Ghezzal,Right Winger,Algeria,18/19,€4.00m,€14.00m,AS Monaco,Leicester City,Ligue 1,Premier League,First Tier,First Tier,26 years 02 months 27 days,02 Years 10 Months 25 Days
Jean-Eudes Aholou,Defensive Midfield,Cote d'Ivoire,18/19,€3.00m,€14.00m,RC Strasbourg Alsace,AS Monaco,Ligue 1,Ligue 1,First Tier,First Tier,24 years 04 months 04 days,02 Years 11 Months 06 Days
Danny Ward,Goalkeeper,Wales,18/19,€2.50m,€14.00m,Liverpool FC,Leicester City,Premier League,Premier League,First Tier,First Tier,25 years 28 days,02 Years 11 Months 10 Days
Diego Lainez,Right Winger,Mexico,18/19,€1.50m,€14.00m,CF América,Real Betis Balompié,Liga MX Clausura,LaLiga,First Tier,First Tier,18 years 07 months 01 day,
Dusan Tadic,Left Winger,Serbia,18/19,€15.00m,€13.70m,Southampton FC,Ajax Amsterdam,Premier League,Eredivisie,First Tier,First Tier,29 years 07 months 13 days,01 Years 11 Months 27 Days
Chris Mepham,Centre-Back,Wales,18/19,€8.00m,€13.60m,Brentford FC,AFC Bournemouth,Championship,Premier League,Second Tier,First Tier,21 years 02 months 17 days,03 Years 05 Months 08 Days
Joris Gnagnon,Centre-Back,France,18/19,€15.00m,€13.50m,Stade Rennais FC,Sevilla FC,Ligue 1,LaLiga,First Tier,First Tier,21 years 06 months 12 days,02 Years 11 Months 05 Days
Davy Klaassen,Attacking Midfield,Netherlands,18/19,€15.00m,€13.50m,Everton FC,SV Werder Bremen,Premier League,Bundesliga,First Tier,First Tier,25 years 05 months 06 days,03 Years 11 Months 03 Days
Benik Afobe,Centre-Forward,DR Congo,18/19,€10.00m,€13.50m,Wolverhampton Wanderers,Stoke City,Premier League,Championship,First Tier,Second Tier,25 years 10 months 23 days,01 Years 05 Months 26 Days
Maximiliano Meza,Right Winger,Argentina,18/19,€14.00m,€13.15m,CA Independiente,CF Monterrey,Superliga,Liga MX Clausura,First Tier,First Tier,26 years 17 days,02 Years 05 Months 29 Days
Gerard Deulofeu,Centre-Forward,Spain,18/19,€14.00m,€13.00m,FC Barcelona,Watford FC,LaLiga,Premier League,First Tier,First Tier,24 years 03 months 18 days,11 Months 30 Days
Mbaye Diagne,Centre-Forward,Senegal,18/19,€5.50m,€13.00m,Kasimpasa,Galatasaray,Süper Lig,Süper Lig,First Tier,First Tier,27 years 03 months 03 days,03 Years 04 Months 30 Days
Matej Vydra,Centre-Forward,Czech Republic,18/19,€8.00m,€12.20m,Derby County,Burnley FC,Championship,Premier League,Second Tier,First Tier,26 years 03 months 07 days,01 Years 10 Months 23 Days
Jeison Murillo,Centre-Back,Colombia,18/19,€15.00m,€12.00m,Inter Milan,Valencia CF,Serie A,LaLiga,First Tier,First Tier,26 years 01 month 04 days,01 Years 11 Months 30 Days
Nacer Chadli,Left Winger,Belgium,18/19,€15.00m,€12.00m,West Bromwich Albion,AS Monaco,Championship,Ligue 1,Second Tier,First Tier,29 years 28 days,01 Years 10 Months 00 Days
Mitchell Weiser,Right-Back,Germany,18/19,€12.00m,€12.00m,Hertha BSC,Bayer 04 Leverkusen,Bundesliga,Bundesliga,First Tier,First Tier,24 years 02 months 10 days,01 Years 11 Months 30 Days
Mikel Merino,Central Midfield,Spain,18/19,€12.00m,€12.00m,Newcastle United,Real Sociedad,Premier League,LaLiga,First Tier,First Tier,22 years 20 days,03 Years 11 Months 18 Days
M'Baye Niang,Centre-Forward,Senegal,18/19,€10.00m,€12.00m,AC Milan,Torino FC,Serie A,Serie A,First Tier,First Tier,23 years 06 months 12 days,11 Months 30 Days
Francesco Acerbi,Centre-Back,Italy,18/19,€10.00m,€12.00m,US Sassuolo,SS Lazio,Serie A,Serie A,First Tier,First Tier,30 years 05 months 01 day,03 Years 11 Months 19 Days
Marlon,Centre-Back,Brazil,18/19,€10.00m,€12.00m,FC Barcelona,US Sassuolo,LaLiga,Serie A,First Tier,First Tier,22 years 11 months 09 days,01 Years 10 Months 14 Days
Sardar Azmoun,Centre-Forward,Iran,18/19,€9.50m,€12.00m,Rubin Kazan,Zenit St. Petersburg,Premier Liga,Premier Liga,First Tier,First Tier,24 years 01 month 00 days,01 Years 04 Months 29 Days
Souza,Defensive Midfield,Brazil,18/19,€9.00m,€12.00m,Fenerbahce,Al-Ahli Saudi FC,Süper Lig,Saudi Professional League,First Tier,First Tier,29 years 06 months 12 days,10 Months 07 Days
Vitinho,Left Winger,Brazil,18/19,€8.00m,€12.00m,CSKA Moscow,CR Flamengo,Premier Liga,Campeonato Brasileiro Série A,First Tier,First Tier,24 years 09 months 21 days,01 Years 11 Months 00 Days
Kévin Malcuit,Right-Back,France,18/19,€7.50m,€12.00m,LOSC Lille,SSC Napoli,Ligue 1,Serie A,First Tier,First Tier,27 years 08 days,03 Years 10 Months 22 Days
Nemanja Radonjic,Left Winger,Serbia,18/19,€6.00m,€12.00m,Red Star Belgrade,Olympique Marseille,Super liga Srbije,Ligue 1,First Tier,First Tier,22 years 06 months 15 days,10 Months 00 Days
Willy Boly,Centre-Back,Cote d'Ivoire,18/19,€5.00m,€12.00m,FC Porto,Wolverhampton Wanderers,Liga NOS,Premier League,First Tier,First Tier,27 years 04 months 28 days,02 Years 11 Months 30 Days
Marcelo Saracchi,Left-Back,Uruguay,18/19,€4.50m,€12.00m,CA River Plate,RB Leipzig,Superliga,Bundesliga,First Tier,First Tier,20 years 02 months 08 days,02 Years 11 Months 30 Days
Emerson Royal,Right-Back,Brazil,18/19,€50k,€12.00m,Clube Atlético Mineiro,FC Barcelona,Campeonato Brasileiro Série A,LaLiga,First Tier,First Tier,20 years 17 days,03 Years 11 Months 00 Days
Manolo Gabbiadini,Centre-Forward,Italy,18/19,€10.00m,€11.90m,Southampton FC,UC Sampdoria,Premier League,Serie A,First Tier,First Tier,27 years 01 month 16 days,02 Years 05 Months 19 Days
Soualiho Meïté,Central Midfield,France,18/19,€8.00m,€11.50m,AS Monaco,Torino FC,Ligue 1,Serie A,First Tier,First Tier,24 years 03 months 23 days,03 Years 11 Months 20 Days
Benik Afobe,Centre-Forward,DR Congo,18/19,€10.00m,€11.40m,AFC Bournemouth,Wolverhampton Wanderers,Premier League,Premier League,First Tier,First Tier,25 years 04 months 19 days,01 Years 11 Months 30 Days
Jonathan Rodríguez,Centre-Forward,Uruguay,18/19,€3.50m,€11.40m,Santos Laguna,CD Cruz Azul,Liga MX Clausura,Liga MX Clausura,First Tier,First Tier,25 years 05 months 26 days,05 Months 29 Days
Josh Murphy,Left Winger,England,18/19,€1.50m,€11.40m,Norwich City,Cardiff City,Championship,Premier League,Second Tier,First Tier,23 years 04 months 07 days,
Bobby De Cordova-Reid,Attacking Midfield,Jamaica,18/19,€3.00m,€11.35m,Bristol City,Cardiff City,Championship,Premier League,Second Tier,First Tier,25 years 04 months 29 days,
David Brooks,Right Winger,Wales,18/19,€5.00m,€11.30m,Sheffield United,AFC Bournemouth,Championship,Premier League,Second Tier,First Tier,20 years 11 months 23 days,
Angus Gunn,Goalkeeper,Scotland,18/19,€2.00m,€11.30m,Manchester City,Southampton FC,Premier League,Premier League,First Tier,First Tier,22 years 05 months 18 days,01 Years 11 Months 20 Days
Nicolás González,Left Winger,Argentina,18/19,€5.00m,€11.26m,AA Argentinos Juniors,VfB Stuttgart,Superliga,Bundesliga,First Tier,First Tier,20 years 03 months 04 days,01 Years 11 Months 20 Days
Tom Ince,Right Winger,England,18/19,€8.00m,€11.20m,Huddersfield Town,Stoke City,Premier League,Championship,First Tier,Second Tier,26 years 05 months 24 days,01 Years 11 Months 06 Days
